DEMO	DEMO	DE0419020	2019-04-01	22125,39	0	2019-04-06
DEMO	DEMO	DE0519020	2019-05-01	29199,73	0	2019-05-06
2515	011B	0319515001	2019-03-01	71159.7	1678.94	2019-04-08
2515	011B	0419515001	2019-04-01	219279.04	0	2019-05-06
2515	012B	0119515002	2019-01-01	34045.73	0	2019-02-11
2515	012B	0419515002	2019-04-01	73297.09	0	2019-05-06
2515	013B	0419515003	2019-04-01	73297.09	0	2019-05-06
2515	014B	0419515004	2019-04-01	73297.09	0	2019-05-06
2515	015B	0419515005	2019-04-01	73297.09	0	2019-05-06
2515	016B	0419515006	2019-04-01	73297.09	0	2019-05-06
2515	017B	0419515007	2019-04-01	73297.09	0	2019-05-06
2515	018B	0419515008	2019-04-01	73297.09	0	2019-05-06
2515	019B	0319515009	2019-03-01	57525.8	0	2019-04-08
2515	019B	0419515009	2019-04-01	177266.11	0	2019-05-06
2515	021B	1218515010	2018-12-01	14243.98	14243.88	2018-12-17
2515	021B	0219515010	2019-02-01	76930.77	0	2019-03-01
2515	021B	0119515010	2019-01-01	99350.62	0	2019-02-11
2515	021B	0319515010	2019-03-01	69411.53	0	2019-04-08
2515	021B	0419515010	2019-04-01	217577.54	0	2019-05-06
2515	022B	0319515011	2019-03-01	25534.28	0	2019-04-08
2515	022B	0419515011	2019-04-01	78684.02	0	2019-05-06
2515	023B	0419515012	2019-04-01	73297.09	0	2019-05-06
2515	024B	0419515013	2019-04-01	78684.02	0	2019-05-06
2515	025B	0219515014	2019-02-01	29046.88	0	2019-03-01
2515	025B	1118515014	2018-11-01	5966.11	0	2018-12-01
2515	025B	1018515014	2018-10-01	2016.03	0	2018-11-01
2515	025B	1218515014	2018-12-01	5239.85	0	2018-12-17
2515	025B	0119515014	2019-01-01	36547.88	0	2019-02-11
2515	025B	0319515014	2019-03-01	26705.33	0	2019-04-08
2515	025B	0419515014	2019-04-01	80238.09	0	2019-05-06
2515	026B	0419515015	2019-04-01	73297.09	0	2019-05-06
2515	027B	0419515016	2019-04-01	73297.09	0	2019-05-06
2515	028B	0219515017	2019-02-01	28300.33	0	2019-03-01
2515	028B	1218515017	2018-12-01	5239.85	395.48	2018-12-17
2515	028B	0119515017	2019-01-01	36547.88	0	2019-02-11
2515	028B	0319515017	2019-03-01	25534.28	0	2019-04-08
